0,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,DSL,Fiber optic,NoInternet,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn
153,1,0,1,1,62,1,0,1,0,0,1,1,1,1,1,1,0,86.10,5215.25,0
154,0,0,1,1,6,1,0,0,0,1,0,0,0,0,0,0,0,19.70,113.50,0
155,0,0,1,1,14,1,0,0,1,0,0,0,0,0,0,1,1,80.90,1152.80,0
156,0,0,0,0,22,1,1,0,1,0,0,0,0,0,1,0,1,84.15,1821.95,0
157,1,0,1,1,22,1,0,0,0,1,0,0,0,0,0,0,0,20.15,419.90,0
158,1,0,1,1,16,1,0,1,0,0,1,0,1,0,1,0,0,64.25,1024.00,0
159,1,0,0,0,10,1,1,0,0,1,0,0,0,0,0,0,0,25.70,251.60,0
160,0,0,0,1,13,1,0,1,0,0,1,1,0,0,0,0,1,56.00,764.55,0
161,0,0,1,0,20,1,1,0,1,0,1,0,0,0,0,0,0,82.40,1592.35,1
162,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,69.70,135.20,0
163,1,0,0,0,53,1,1,1,0,0,0,1,1,1,0,1,1,73.90,3958.25,0
164,0,0,1,1,11,1,0,0,0,1,0,0,0,0,0,0,0,20.60,233.90,0
165,1,0,1,0,69,1,0,0,0,1,0,0,0,0,0,0,0,19.90,1363.45,0
166,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,1,70.90,273.00,1
167,1,0,1,0,72,1,1,1,0,0,1,1,1,1,1,1,1,89.05,6254.45,0
168,1,1,1,0,58,0,0,1,0,0,0,1,1,0,0,1,1,45.30,2651.20,1
169,0,0,1,1,16,1,0,0,0,1,0,0,0,0,0,0,0,20.40,321.40,0
170,1,0,1,0,43,1,0,0,1,0,1,0,1,1,0,0,1,84.25,3539.25,0
171,0,0,1,0,2,1,1,0,1,0,0,0,1,1,1,1,1,104.40,242.80,1
172,1,0,1,0,14,1,0,1,0,0,0,1,1,1,1,1,0,81.95,1181.75,0
173,0,0,1,0,53,1,0,0,1,0,0,0,1,0,1,1,1,94.85,5000.20,1
174,0,0,0,0,32,1,0,0,0,1,0,0,0,0,0,0,0,20.55,654.55,0
175,0,0,1,0,34,1,1,0,0,1,0,0,0,0,0,0,0,24.70,780.20,0
176,0,1,0,0,15,1,1,0,1,0,0,0,0,0,0,0,1,74.45,1145.70,1
177,0,1,0,0,7,1,0,0,1,0,1,0,0,0,0,0,0,76.45,503.60,1
178,0,0,1,1,15,1,1,0,1,0,0,1,1,0,1,1,1,105.35,1559.25,0
179,1,0,1,0,61,1,0,0,0,1,0,0,0,0,0,0,1,20.55,1252.00,0
180,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,29.95,29.95,1
181,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,45.30,45.30,0
182,1,0,0,0,8,1,1,0,1,0,0,0,0,0,0,1,0,84.50,662.65,1
183,1,0,1,1,33,1,0,1,0,0,1,0,1,0,1,1,0,74.75,2453.30,0
184,0,0,0,0,13,1,0,0,1,0,0,1,1,0,0,0,1,79.25,1111.65,1
185,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,24.80,24.80,1
186,1,0,0,0,20,1,0,1,0,0,0,1,0,0,0,0,1,51.80,1023.85,0
187,1,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,30.40,82.15,0
188,0,0,0,0,13,1,0,0,0,1,0,0,0,0,0,0,0,19.65,244.80,0
189,0,0,1,0,40,1,1,1,0,0,0,1,0,0,0,0,0,56.60,2379.10,0
190,1,0,1,1,43,1,1,1,0,0,1,0,0,1,0,1,1,71.90,3173.35,0
191,1,0,1,0,6,1,0,0,1,0,0,1,1,0,0,1,1,91.00,531.00,1
192,0,0,1,1,69,1,0,0,0,1,0,0,0,0,0,0,0,19.75,1375.40,0
193,0,0,1,1,72,1,1,0,1,0,1,1,1,0,1,1,0,109.70,8129.30,0
194,1,0,1,1,59,1,0,0,0,1,0,0,0,0,0,0,0,19.30,1192.70,0
195,0,0,1,0,20,1,0,0,1,0,1,1,0,1,1,0,1,96.55,1901.65,0
196,1,0,1,1,24,1,1,0,0,1,0,0,0,0,0,0,1,24.10,587.40,0
197,1,0,0,0,59,1,1,0,1,0,0,1,1,1,1,1,1,111.35,6519.75,0
198,1,0,1,1,72,1,1,0,1,0,0,1,1,1,1,1,1,112.25,8041.65,0
199,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,20.75,20.75,0
200,0,0,1,0,27,1,0,0,1,0,1,0,0,1,1,1,1,101.90,2681.15,0
201,0,0,0,0,14,1,0,0,1,0,0,1,0,1,0,0,1,80.05,1112.30,0
202,1,0,1,1,71,1,1,0,1,0,1,0,1,0,1,1,0,105.55,7405.50,0
203,1,0,0,1,13,1,0,0,1,0,0,0,0,0,1,0,1,78.30,1033.95,0
204,1,0,0,0,44,1,0,0,1,0,0,0,0,0,0,0,0,68.85,2958.95,0
205,0,0,0,0,33,1,0,0,1,0,0,1,0,1,0,0,1,79.95,2684.85,0
206,1,0,1,1,72,0,0,1,0,0,1,1,1,1,0,1,1,55.45,4179.20,0
207,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,79.90,79.90,1
208,0,0,0,0,19,1,0,0,1,0,1,0,1,1,1,1,1,106.60,1934.45,1
209,1,0,1,0,64,1,0,0,1,0,0,1,1,1,1,1,1,102.45,6654.10,0
210,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,1,46.00,84.50,1
211,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,25.25,25.25,0
212,1,0,0,1,61,1,0,0,0,1,0,0,0,0,0,0,0,19.75,1124.20,0
213,0,0,1,1,29,1,0,0,0,1,0,0,0,0,0,0,0,20.00,540.05,0
214,1,1,1,0,23,1,1,0,1,0,0,0,0,0,0,1,0,86.80,1975.85,0
215,0,0,1,0,57,0,0,1,0,0,1,1,1,0,1,1,1,58.75,3437.45,0
216,1,0,1,1,72,0,0,1,0,0,1,1,1,1,0,0,0,45.25,3139.80,0
217,1,0,1,0,66,0,0,1,0,0,1,1,1,1,1,0,1,56.60,3789.20,0
218,1,0,1,1,65,1,1,1,0,0,0,1,1,1,1,1,1,84.20,5324.50,0
219,0,0,0,0,8,1,0,0,1,0,0,0,0,0,1,0,1,80.00,624.60,0
220,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,1,70.15,268.35,1
221,0,0,1,0,71,1,1,0,0,1,0,0,0,0,0,0,0,24.75,1836.90,0
222,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,20.20,20.20,0
223,1,0,1,0,4,1,0,1,0,0,0,0,0,1,0,0,0,50.05,179.35,1
224,0,0,0,0,12,1,0,0,0,1,0,0,0,0,0,0,1,19.35,219.35,0
225,1,0,0,0,24,0,0,1,0,0,1,0,0,0,1,1,1,50.60,1288.75,0
226,0,0,1,1,31,1,0,1,0,0,1,0,1,1,1,1,1,81.15,2545.75,0
227,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,55.20,55.20,1
228,1,0,0,0,30,1,1,0,1,0,0,0,0,1,0,1,1,89.90,2723.15,0
229,0,0,1,1,47,1,1,1,0,0,1,1,0,1,1,1,1,85.30,4107.25,0
230,1,0,0,0,54,1,1,0,1,0,1,1,0,1,1,1,1,108.00,5760.65,0
231,1,0,0,0,50,1,0,0,1,0,1,1,0,1,0,1,1,93.50,4747.50,0
232,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,84.60,84.60,1
233,0,0,0,0,72,1,0,0,0,1,0,0,0,0,0,0,0,20.25,1566.90,0
234,0,0,0,0,29,1,1,0,0,1,0,0,0,0,0,0,0,25.15,702.00,0
235,1,0,0,0,2,1,1,1,0,0,0,1,0,0,0,0,1,54.40,114.10,1
236,0,0,0,0,10,0,0,1,0,0,0,0,0,1,0,0,1,29.60,299.05,0
237,1,0,1,0,18,1,1,0,1,0,0,0,0,0,0,0,1,73.15,1305.95,0
238,0,1,0,0,11,1,0,0,1,0,0,1,0,0,1,1,1,95.00,1120.30,1
239,1,0,0,0,16,1,0,0,0,1,0,0,0,0,0,0,0,19.75,284.35,0
240,0,0,0,0,72,1,1,1,0,0,0,1,1,1,1,1,0,86.60,6350.50,0
241,1,0,0,0,72,1,1,0,1,0,0,1,1,1,1,1,0,109.20,7878.30,0
242,0,0,1,1,41,1,0,1,0,0,1,0,0,1,1,1,1,74.70,3187.65,0
243,0,1,1,0,65,1,0,0,1,0,1,1,1,0,0,1,0,94.40,6126.15,0
244,0,1,0,0,13,1,0,1,0,0,0,1,1,0,0,0,1,54.80,731.30,0
245,1,1,0,0,4,1,0,0,1,0,1,0,0,0,0,0,0,75.35,273.40,0
246,1,0,0,0,41,1,1,1,0,0,0,0,1,0,0,1,0,65.00,2531.80,0
247,1,1,0,0,15,1,0,0,1,0,0,1,0,0,0,0,1,74.40,1074.30,1
248,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,48.55,48.55,1
249,1,0,0,0,42,1,1,0,1,0,1,1,1,0,0,1,1,99.00,4298.45,0
250,0,0,1,0,51,1,0,0,1,0,1,1,1,0,1,0,1,93.50,4619.55,0
251,0,0,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,70.40,147.15,1
252,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,40.20,40.20,1
253,1,0,0,1,32,1,1,1,0,0,0,1,1,1,1,1,0,83.70,2633.30,0
254,1,0,0,0,10,1,0,0,0,1,0,0,0,0,0,0,1,19.85,193.05,0
255,0,0,1,1,67,0,0,1,0,0,0,1,1,1,1,1,1,59.55,4103.90,0
256,0,0,1,1,61,1,1,0,1,0,1,1,1,1,1,1,0,115.10,7008.15,0
257,1,0,0,0,50,1,1,0,1,0,1,1,1,1,1,1,0,114.35,5791.10,0
258,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,1,44.60,80.55,1
259,0,1,1,0,29,0,0,1,0,0,1,0,1,0,0,1,1,45.00,1228.65,0
260,1,1,0,0,3,0,0,1,0,0,0,0,1,0,0,1,1,41.15,132.20,1
261,1,1,0,0,13,1,1,0,1,0,0,1,1,0,1,1,1,106.90,1364.30,1
262,1,1,1,0,57,1,1,0,1,0,0,1,0,0,0,1,1,89.85,4925.35,0
263,0,0,0,0,31,0,0,1,0,0,1,1,0,1,0,1,1,49.85,1520.10,0
264,0,0,1,0,45,1,1,0,1,0,1,1,1,1,1,1,0,113.30,5032.25,0
265,0,0,1,1,61,1,1,1,0,0,1,1,1,1,1,1,0,88.10,5526.75,0
266,1,0,0,0,50,1,1,0,0,1,0,0,0,0,0,0,0,24.90,1195.25,0
267,0,1,0,0,19,1,0,0,1,0,1,1,0,1,1,1,1,105.00,2007.25,0
268,1,0,0,0,59,1,0,0,0,1,0,0,0,0,0,0,0,19.35,1099.60,1
269,0,0,1,0,71,1,1,0,0,1,0,0,0,0,0,0,1,24.25,1732.95,0
270,0,1,0,0,16,1,0,0,1,0,0,0,0,1,1,1,1,94.45,1511.20,1
271,1,0,1,0,57,1,0,1,0,0,1,1,0,1,0,0,1,59.75,3450.15,0
272,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,24.80,24.80,1
273,1,1,1,0,20,1,1,0,1,0,0,1,0,1,1,1,0,107.05,2172.05,0
274,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,70.60,70.60,1
275,1,0,1,0,5,1,1,0,1,0,0,1,0,1,0,0,1,85.40,401.10,1
276,0,0,1,0,52,1,1,0,1,0,0,1,1,0,1,1,1,105.05,5624.85,1
277,1,1,1,0,21,1,0,1,0,0,1,1,0,0,0,1,1,64.95,1339.80,0
278,1,0,0,0,14,0,0,1,0,0,0,0,1,1,1,1,1,55.00,771.95,0
279,0,0,0,0,5,1,0,1,0,0,0,1,0,0,0,0,0,50.55,244.75,0
280,0,0,0,0,6,1,0,1,0,0,1,1,0,0,0,0,0,55.15,322.90,0
281,0,0,0,0,10,1,0,1,0,0,0,1,0,0,0,0,0,51.20,498.25,0
282,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,25.40,25.40,0
283,0,0,0,0,68,1,1,1,0,0,1,0,0,0,0,0,0,54.45,3687.75,0
284,1,0,1,1,18,1,0,0,1,0,0,0,1,0,1,1,0,95.15,1779.95,1
285,0,0,0,0,22,1,1,0,1,0,0,0,0,0,0,0,1,76.00,1783.60,0
286,0,0,0,0,20,1,0,1,0,0,0,0,0,0,0,0,1,44.35,927.15,0
287,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,70.00,70.00,1
288,1,1,0,0,8,1,0,0,1,0,0,1,0,0,0,0,1,74.50,606.55,1
289,1,0,0,0,10,1,0,1,0,0,0,0,0,0,0,0,1,44.85,435.40,1
290,1,1,0,0,24,1,1,0,1,0,0,0,0,0,0,0,1,76.10,1712.70,1
291,1,0,0,0,35,1,0,1,0,0,1,1,1,0,0,0,0,61.20,2021.20,0
292,1,0,1,1,23,1,0,0,1,0,0,1,1,1,0,0,0,86.80,1940.80,0
293,0,1,0,0,6,1,0,0,1,0,0,0,0,0,1,1,1,89.35,567.80,0
